year,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,Yr Avg
1980,222877773,1335465,22679,82327.0,0.0,563581,666878,6.811764705882353
1981,226616000,1353533,22197,81788.0,0.0,590570,658978,7.3254901960784355
1982,228984000,1314381,20654,78051.0,0.0,550976,664700,9.217647058823529
1983,231393000,1250396,19018,78275.0,0.0,504666,648437,9.162745098039215
1984,233563000,1265468,18437,83487.0,0.0,483204,680340,7.309803921568629
1985,236126000,1321678,18700,87971.0,0.0,496233,718774,7.070588235294115
1986,238433000,1481973,20318,90781.0,0.0,541078,829796,6.950980392156865
1987,240774000,1476918,19827,90344.0,0.0,516208,850539,6.205882352941177
1988,243183000,1557677,20450,91535.0,0.0,540940,904752,5.462745098039215
1989,245622000,1637881,21247,93487.0,0.0,576273,946874,5.1352941176470575
1990,246136657,1811369,23125,101421.0,0.0,637054,1049769,5.439215686274511
1991,249589000,1901682,24371,105394.0,0.0,684717,1087200,6.466666666666666
1992,252467000,1921511,23440,107896.0,0.0,669224,1120951,6.854901960784316
1993,255261000,1914550,24169,104889.0,0.0,656187,1129305,6.305882352941175
1994,257672000,1844493,22917,101004.0,0.0,614613,1105959,5.643137254901962
1995,262754000,1798792,21606,97470.0,0.0,580509,1099207,5.25686274509804
1996,265284000,1688540,19645,96252.0,0.0,535594,1037049,5.154901960784313
1997,267637000,1636096,18211,96153.0,0.0,498534,1023201,4.739215686274511
1998,270296000,1533887,16974,93144.0,0.0,447186,976583,4.39607843137255
1999,272690813,1426044,15522,89411.0,0.0,409371,911740,4.127450980392156
2000,281421906,1425486,15586,90178.0,0.0,408016,911706,3.9117647058823537
2001,285317559,1439480,16037,90863.0,0.0,423557,909023,4.531372549019609
2002,287973924,1423677,16229,95235.0,0.0,420806,891407,5.3588235294117625
2003,290788976,1383676,16528,93883.0,0.0,414235,859030,5.594117647058824
2004,293656842,1360088,16148,95089.0,0.0,401470,847381,5.22745098039216
2005,296507061,1390745,16740,94347.0,0.0,417438,862220,4.939215686274509
2006,299398484,1435123,17309,94472.0,0.0,449246,874096,4.458823529411764
2007,301621157,1422970,17128,92160.0,0.0,447324,866358,4.370588235294116
2008,304059724,1394461,16465,90750.0,0.0,443563,843683,5.356862745098039
2009,307006550,1325896,15399,89241.0,0.0,408742,812514,8.498039215686278
2010,309330219,1251248,14722,85593.0,0.0,369089,781844,8.766666666666667
2011,311587816,1206031,14661,84175.0,0.0,354772,752423,8.172549019607844
2012,313873685,1217067,14856,85141.0,0.0,355051,762009,7.372549019607841
2013,316497531,1199684,14319,82109.0,113695.0,345093,726777,6.7745098039215685
2014,318907401,1186185,14164,84864.0,118027.0,322905,731089,5.788235294117648
2015,320903064,1234854,15873,91279.0,126157.0,328227,764597,5.043137254901961
2016,323405935,1285606,17413,96970.0,132414.0,332797,802982,4.684313725490195
2017,325147121,1283875,17294,0.0,135666.0,320596,810319,4.17843137254902
2018,327167434,1245065,16214,0.0,139380.0,282061,807410,3.8078431372549018
